id;question;extra;suspicious_status;suspicious_note
003;The boss emphasized that [you:t.Personal,s2] must be on time.;Босс подчеркнул, что ты должен быть вовремя.;0;
002;The manager confirmed that [you:t.Personal,s2] had completed the task.;Менеджер подтвердил, что ты завершил задание.;0;
003;He warned that [you:t.Personal,s2] should be careful.;Он предупредил, что тебе следует быть осторожным.;0;
004;The teacher explained why [he:t.Personal,s3m] missed the deadline.;Учитель объяснил, почему он пропустил крайний срок.;0;
005;She couldn't believe that [he:t.Personal,s3m] had lied to her.;Она не могла поверить, что он ей солгал.;0;
004;She was worried that [he:t.Personal,s3m] wouldn't make it on time.;Она волновалась, что он не успеет вовремя.;0;
005;The team believed that [he:t.Personal,s3m] could lead them to victory.;Команда верила, что он сможет привести их к победе.;0;
004;We suspected that [he:t.Personal,s3m] was hiding something.;Мы подозревали, что он что-то скрывает.;0;
005;They admitted that [he:t.Personal,s3m] was the best candidate.;Они признали, что он был лучшим кандидатом.;0;
006;Everyone was amazed by how fast [she:t.Personal,s3f] solved the problem.;Все были поражены, как быстро она решила проблему.;0;
007;We had no idea that [she:t.Personal,s3f] spoke five languages.;Мы не знали, что она говорит на пяти языках.;0;
006;Everyone agreed that [she:t.Personal,s3f] deserved the award.;Все согласились, что она заслужила награду.;0;
007;We wondered why [she:t.Personal,s3f] hadn't responded yet.;Мы задумались, почему она ещё не ответила.;0;
006;The professor mentioned that [she:t.Personal,s3f] had done excellent research.;Профессор упомянул, что она провела отличное исследование.;0;
007;Her friend revealed that [she:t.Personal,s3f] had moved abroad.;Её друг рассказал, что она переехала за границу.;0;
008;The scientist proved that [it:t.Personal,s3n] was possible to travel faster.;Учёный доказал, что это возможно путешествовать быстрее.;0;
009;They debated whether [it:t.Personal,s3n] should be changed.;Они спорили, стоит ли это изменить.;0;
008;It was clear that [it:t.Personal,s3n] wouldn't work as planned.;Было ясно, что это не сработает, как планировалось.;0;
009;The engineer confirmed that [it:t.Personal,s3n] was built correctly.;Инженер подтвердил, что это было построено правильно.;0;
008;The expert concluded that [it:t.Personal,s3n] was a breakthrough discovery.;Эксперт пришёл к выводу, что это было прорывное открытие.;0;
009;They agreed that [it:t.Personal,s3n] was the right decision.;Они согласились, что это было правильное решение.;0;
000;My friends and I realized that [we:t.Personal,p1] needed a new plan.;Мои друзья и я поняли, что нам нужен новый план.;0;
001;The manager reminded us that [we:t.Personal,p1] had to finish by noon.;Менеджер напомнил нам, что мы должны закончить к полудню.;0;
000;They knew that [we:t.Personal,p1] were trying our best.;Они знали, что мы старались изо всех сил.;0;
001;The instructor told us that [we:t.Personal,p1] needed more practice.;Инструктор сказал нам, что нам нужно больше практики.;0;
000;We insisted that [we:t.Personal,p1] should try again.;Мы настаивали, что мы должны попробовать снова.;0;
001;They mentioned that [we:t.Personal,p1] had the necessary experience.;Они упомянули, что у нас был необходимый опыт.;0;
005;We learned that [they:t.Personal,p3] had already left.;Мы узнали, что они уже ушли.;0;
004;The scientist explained why [they:t.Personal,p3] changed the experiment.;Учёный объяснил, почему они изменили эксперимент.;0;
006;The journalist reported that [they:t.Personal,p3] had discovered new evidence.;Журналист сообщил, что они обнаружили новые доказательства.;0;
007;She commented that [they:t.Personal,p3] seemed very confident.;Она прокомментировала, что они казались очень уверенными.;0;
008;It was obvious that [they:t.Personal,p3] needed help.;Было очевидно, что им нужна помощь.;0;
009;The report stated that [they:t.Personal,p3] had reached an agreement.;В отчёте говорилось, что они достигли соглашения.;0;

# personal-subj: "it" при уточнении личности.
000;It was my brother who helped me move, not my neighbor.;Это мой брат помог мне переехать, а не сосед.;0;  
001;I heard a voice in the hallway. Was it your father?;Я услышал голос в коридоре. Это был твой отец?;0;  
002;It was Sarah who told me the truth, not Mark.;Это Сара сказала мне правду, а не Марк.;0;  
003;Was it your sister I saw at the mall yesterday?;Это была твоя сестра, кого я видел вчера в торговом центре?;0;  
004;It wasn’t John who called you, it was Mike.;Это был не Джон, кто тебе звонил, а Майк.;0;  
005;It was my best friend who stood by me through hard times.;Это мой лучший друг поддерживал меня в трудные времена.;0;  
006;It wasn’t the teacher who gave us extra homework, it was the principal.;Это не учитель дал нам дополнительное задание, а директор.;0;  
007;Was it Lisa who won the competition?;Это Лиза выиграла соревнование?;0;  
008;It was my uncle who took me to the airport.;Это мой дядя отвез меня в аэропорт.;0;  
009;It wasn’t your idea, it was mine.;Это была не твоя идея, а моя.;0;  

# personal-subj: "it" к животным.
000;[It:t.Personal](The dog) is barking loudly.; Он/Она лает громко.;0;
000;[It:t.Personal](The bird) is flying in the sky.; Она летит в небе.;0;
000;[It:t.Personal](The cat) is hiding under the bed.; Он/Она прячется под кроватью.;0;
000;[It:t.Personal](The rabbit) is eating a carrot.; Он/Она ест морковь.;0;
000;[It:t.Personal](The fish) is swimming in the tank.; Она плавает в аквариуме.;0;
000;[It:t.Personal](The cow) is standing in the field.; Она стоит в поле.;0;
000;[It:t.Personal](The horse) is running fast.; Он/Она быстро бежит.;0;
000;[It:t.Personal](The spider) is crawling on the wall.; Он/Она ползёт по стене.;0;
000;[It:t.Personal](The bee) is buzzing around the flower.; Она жужжит вокруг цветка.;0;
000;[It:t.Personal](The squirrel) is climbing the tree.; Она карабкается на дерево.;0;
000;I gave the cat some food, but [it:t.Personal] didn’t eat anything.; Я дал коту еды, но он ничего не съел.;0;  
000;The dog wagged its tail when [it:t.Personal] saw me.; Собака виляла хвостом, когда увидела меня.;0;  
000;The rabbit was hiding in the bush, but I saw [it:t.Personal].; Кролик прятался в кустах, но я его увидел.;0;  
000;My parrot can talk, but sometimes [it:t.Personal] just whistles.; Мой попугай умеет говорить, но иногда просто насвистывает.;0;  
000;I saw a fox last night, but [it:t.Personal] ran away quickly.; Я видел лису прошлой ночью, но она быстро убежала.;0;  
000;The stray dog was shivering because [it:t.Personal] was cold outside.; Бродячая собака дрожала, потому что на улице было холодно.;0;  
000;I saw a squirrel, but [it:t.Personal] climbed the tree before I could take a picture.; Я увидел белку, но она забралась на дерево, прежде чем я успел сделать фото.;0;  
000;The fish looks sick. [It:t.Personal] hasn’t been eating.; Рыба выглядит больной. Она ничего не ела.;0;  
000;My hamster loves running on its wheel, and [it:t.Personal] never gets tired.; Мой хомяк любит бегать в своем колесе и никогда не устаёт.;0;  
000;The snake was motionless, but I wasn’t sure if [it:t.Personal] was alive.; Змея была неподвижна, но я не был уверен, жива ли она.;0;  
000;A bee flew into the room, but [it:t.Personal] left through the open window.; Пчела залетела в комнату, но вылетела через открытое окно.;0;  
000;The owl opened its eyes when [it:t.Personal] heard a noise.; Сова открыла глаза, когда услышала шум.;0;  
000;I tried to pet the rabbit, but [it:t.Personal] hopped away.; Я попытался погладить кролика, но он отпрыгнул.;0;  
000;The kitten looks sleepy. [It:t.Personal] has been playing all day.; Котёнок выглядит сонным. Он играл весь день.;0;  

# personal-subj: "it" к младенцам.
000;The baby is crying because [it:t.Personal] is hungry.; Младенец плачет, потому что он голоден.;0;  
000;I picked up the newborn, and [it:t.Personal] stopped crying.; Я поднял новорождённого, и он перестал плакать.;0;  
000;The infant was sleeping peacefully, but then [it:t.Personal] woke up.; Младенец спокойно спал, но потом проснулся.;0;  
000;We don’t know the baby’s gender yet, so we just call [it:t.Personal] "the little one".; Мы ещё не знаем пол ребёнка, поэтому просто называем его "малышом".;0;  
000;The baby kicked its legs when [it:t.Personal] heard music.; Младенец замахал ногами, когда услышал музыку.;0;  
000;Look at this cute baby! [It:t.Personal] is smiling at you.; Посмотри на этого милого младенца! Он тебе улыбается.;0;  
000;The newborn grabbed my finger and held onto [it:t.Personal] tightly.; Новорождённый схватил мой палец и крепко за него держался.;0;  
000;I heard the baby laughing, but I didn’t see where [it:t.Personal] was.; Я услышал, как младенец смеётся, но не увидел, где он.;0;  
000;The baby sneezed, and [it:t.Personal] looked so adorable.; Младенец чихнул, и это выглядело так мило.;0;  
000;She wrapped the newborn in a blanket so [it:t.Personal] wouldn’t get cold.; Она завернула новорождённого в одеяло, чтобы ему не было холодно.;0;  

# personal-subj: singular they.
000;Nobody knows what [they:t.Personal] are doing all the time.; Никто не знает, что делает всё время.; 0;  
000;Someone said [they:t.Personal] would be here by noon.; Кто-то сказал, что они будут здесь к полудню.; 0;  
000;If anyone arrives early, [they:t.Personal] can wait in the lobby.; Если кто-то придёт рано, они могут подождать в холле.; 0;  
000;Every employee should ensure [they:t.Personal] meet the deadline.; Каждый сотрудник должен убедиться, что они уложились в срок.; 0;  
000;Everybody thinks [they:t.Personal] know best. ; Каждый думает, что он знает лучше всех. ; 0;
000;No one should feel like [they:t.Personal] are alone. ; Никто не должен чувствовать себя одиноким. ; 0;
000;Anyone can join if [they:t.Personal] are interested. ; Любой может присоединиться, если ему интересно. ; 0;
000;Someone forgot [they:t.Personal] umbrella. ; Кто-то забыл свой зонтик. ; 0;
000;If a student has questions, [they:t.Personal] should ask the teacher. ; Если у студента есть вопросы, он должен спросить учителя. ; 0;

# personal-subj: singular we.
000;[We:t.Personal,e.Royal], the King of France, decree that all taxes shall be lowered.; Мы, король Франции, постановляем снизить все налоги.;0;
000;[We:t.Personal,e.Royal] have always ruled with wisdom and fairness.; Мы всегда правили с мудростью и справедливостью.;0;
000;As sovereign of this land, [we:t.Personal,e.Royal] shall not tolerate treason.; Как повелитель этой земли, мы не потерпим предательства.;0;
000;[We:t.Personal,e.Royal] hereby declare this war to be just and necessary.; Мы настоящим объявляем эту войну справедливой и необходимой.;0;
000;[We:t.Personal,e.Royal] are most pleased with the loyalty of our subjects.; Мы чрезвычайно довольны преданностью наших подданных.;0;
000;[We:t.Personal,e.Authorial] propose a new approach to solving this equation.; Мы предлагаем новый подход к решению этого уравнения.;0;
000;In this paper, [we:t.Personal,e.Authorial] examine the effects of climate change on biodiversity.; В данной статье мы изучаем влияние изменения климата на биоразнообразие.;0;
000;[We:t.Personal,e.Authorial] have found that increasing temperature correlates with higher metabolic rates.; Мы обнаружили, что повышение температуры коррелирует с увеличением скорости метаболизма.;0;
000;[We:t.Personal,e.Authorial] believe that our findings contribute significantly to the field of neuroscience.; Мы полагаем, что наши выводы вносят значительный вклад в область нейронауки.;0;
000;[We:t.Personal,e.Authorial] conclude that further research is needed to confirm these results.; Мы заключаем, что необходимы дополнительные исследования для подтверждения этих результатов.;0;
000;[We:t.Personal,e.Patronizing] are not feeling well today, are we?; Мы сегодня плохо себя чувствуем, не так ли? (врач пациенту);0;
000;Ah, [we:t.Personal,e.Patronizing] have been a little naughty, haven’t we?; Ах, мы немножко шалили, да? (взрослый ребёнку);0;
000;[We:t.Personal,e.Patronizing] must remember to take our medicine every morning.; Мы должны помнить, что принимаем наше лекарство каждое утро. (медсестра пациенту);0;
000;Are [we:t.Personal,e.Patronizing] ready for our big speech today?; Мы готовы к нашему важному выступлению сегодня? (учитель ученику);0;
000;[We:t.Personal,e.Patronizing] seem to have forgotten our manners.; Мы, кажется, забыли про хорошие манеры. (покровительственный тон);0;

# personal-subj: порядок местоимений.
000;[You and I] should go to the gym together. (I, you); Мы с тобой должны пойти в спортзал вместе.;0;
000;[You and I] should work on this project together. (I, you); Мы с тобой должны работать над этим проектом вместе.;0;
000;[She and I] have been friends since childhood. (I, she); Мы с ней друзья с детства.;0;
000;[She and I] went to the same high school. (I, she); Мы с ней ходили в одну среднюю школу.;0;
000;[David and I] studied at the same university. (I, David); Мы с Дэвидом учились в одном университете.;0;
000;[Jessica and I] are preparing for the test. (I, Jessica); Мы с Джессикой готовимся к тесту.;0;
000;[Michael and I] were at the conference last year. (I, Michael); Мы с Майклом были на конференции в прошлом году.;0;
000;[My boss and I] will attend the meeting. (I, my boss); Мы с моим начальником посетим встречу.;0;
000;[My brother and I] enjoy playing video games. (I, my brother); Мы с моим братом любим играть в видеоигры.;0;
000;[My teacher and I] wrote an article on this topic. (I, my teacher); Мы с моим учителем написали статью на эту тему.;0;
000;[They and I] are planning a trip next month. (I, they); Мы с ними планируем поездку в следующем месяце.;0;
000;[They and I] often travel together. (I, they); Мы с ними часто путешествуем вместе.;0;
000;[You and he] have similar interests. (you, he); У вас с ним похожие интересы.;0;
000;[You and he] need to finish the report. (you, he); Вам с ним нужно закончить отчет.;0;
000;[You and she] should present the report. (you, she); Вам с ней следует представить отчет.;0;
000;[You and she] should take care of this issue. (you, she); Вам с ней следует заняться этим вопросом.;0;
000;[You and your sister] should decide together. (you, your sister); Вам с твоей сестрой следует решить это вместе.;0;
000;[You and we] will organize the party. (you, we); Мы с тобой организуем вечеринку.;0;
000;[You and they] need to prepare for the meeting. (you, they); Вам с ними нужно подготовиться к встрече.;0;
000;[You and my sister] need to talk about the event. (you, my sister); Вам с моей сестрой нужно поговорить о мероприятии.;0;
000;[You and they] have already finished the assignment. (you, they); Вы с ними уже закончили задание.;0;
000;[You and my cousin] are responsible for organizing the event. (you, my cousin); Вы с моим кузеном отвечаете за организацию мероприятия.;0;
000;[You and they] were chosen for the project. (you, they); Вас с ними выбрали для проекта.;0;
000;[You and Mark] should present the results. (you, Mark); Вам с Марком следует представить результаты.;0;

# personal-subj: борьба разговорного с формальным.
000;My brother and [I:t.Personal,s1,f.Formal] went to a concert last night.; Мой брат и я ходили на концерт прошлой ночью.
000;My brother and [me:t.Personal,s1,f.Colloquial] went to a concert last night.; Мой брат и я ходили на концерт прошлой ночью.
000;My colleague and [I:t.Personal,s1,f.Formal] finished the report on time.; Мой коллега и я закончили отчёт вовремя.
000;My colleague and [me:t.Personal,s1,f.Colloquial] finished the report on time.; Мой коллега и я закончили отчёт вовремя.
000;Between you and [I:t.Personal,s1,f.Formal], I think he’s wrong. (часто слышится, но неверно); Между нами, я думаю, он неправ. (часто говорят, но это ошибка)
000;Between you and [me:t.Personal,s1,f.Colloquial], I think he’s wrong.; Между нами, я думаю, он неправ.
000;My parents and [I:t.Personal,s1,f.Formal] are going on vacation.; Мои родители и я едем в отпуск.
000;My parents and [me:t.Personal,s1,f.Colloquial] are going on vacation.; Мои родители и я едем в отпуск.
000;My best friend and [I:t.Personal,s1,f.Formal] planned the trip.; Мой лучший друг и я спланировали поездку.
000;My best friend and [me:t.Personal,s1,f.Colloquial] planned the trip.; Мой лучший друг и я спланировали поездку.
000;It was [I:t.Personal,s1,f.Formal] who told him the truth.; Это был я, кто сказал ему правду.
000;It was [me:t.Personal,s1,f.Colloquial] who told him the truth.; Это был я, кто сказал ему правду.
000;It is [I:t.Personal,s1,f.Formal] who deserves the credit.; Именно я заслуживаю признания.
000;It is [me:t.Personal,s1,f.Colloquial] who deserves the credit.; Именно я заслуживаю признания.
000;It was [they:t.Personal,p2,f.Formal] who called first.; Это они позвонили первыми.
000;It was [them:t.Personal,p2,f.Colloquial] who called first.; Это они позвонили первыми.
000;It was [we:t.Personal,p1,f.Formal] who volunteered.; Это мы вызвались добровольно.
000;It was [us:t.Personal,p1,f.Colloquial] who volunteered.; Это мы вызвались добровольно.
000;No one except [he:t.Personal,s3m,f.Formal] knew the answer.; Никто, кроме него, не знал ответа.
000;No one except [him:t.Personal,s3m,f.Colloquial] knew the answer.; Никто, кроме него, не знал ответа.
000;Everyone except [she:t.Personal,s3f,f.Formal] arrived on time.; Все, кроме неё, пришли вовремя.
000;Everyone except [her:t.Personal,s3f,f.Colloquial] arrived on time.; Все, кроме неё, пришли вовремя.
000;She is taller than [I:t.Personal,s3f,f.Formal].; Она выше, чем я.;0;
000;She is taller than [me:t.Personal,s3f,f.Colloquial].; Она выше меня.;0;
000;No one can do it but [she:t.Personal,s3f,f.Formal].; Никто не может сделать это, кроме неё.;0;
000;No one can do it but [her:t.Personal,s3f,f.Colloquial].; Никто не может сделать это, кроме неё.;0;
000;No one understands it but [he:t.Personal,s3f,f.Formal].; Никто этого не понимает, кроме него.;0;
000;No one understands it but [him:t.Personal,s3f,f.Colloquial].; Никто этого не понимает, кроме него.;0;
000;They invited no one but [we:t.Personal,p1,f.Formal].; Они никого не пригласили, кроме нас.;0;
000;They invited no one but [us:t.Personal,p1,f.Colloquial].; Они никого не пригласили, кроме нас.;0;
000;Nothing matters but [she:t.Personal,s3f,f.Formal].; Ничто не имеет значения, кроме неё.;0;
000;Nothing matters but [her:t.Personal,s3f,f.Colloquial].; Ничто не имеет значения, кроме неё.;0;
000;No one saw it except [I:t.Personal,s1,f.Formal].; Никто этого не видел, кроме меня.;0;
000;No one saw it except [me:t.Personal,s1,f.Colloquial].; Никто этого не видел, кроме меня.;0;
000;We spoke to no one except [they:t.Personal,p3,f.Formal].; Мы ни с кем не разговаривали, кроме них.;0;
000;We spoke to no one except [them:t.Personal,p3,f.Colloquial].; Мы ни с кем не разговаривали, кроме них.;0;
000;She is taller than [he:t.Personal,s3f,f.Formal].; Она выше, чем он.;0;
000;She is taller than [him:t.Personal,s3f,f.Colloquial].; Она выше его.;0;
000;They are stronger than [we:t.Personal,p1,f.Formal].; Они сильнее, чем мы.;0;
000;They are stronger than [us:t.Personal,p1,f.Colloquial].; Они сильнее нас.;0;
000;I know more about this than [she:t.Personal,s3f,f.Formal].; Я знаю об этом больше, чем она.;0;
000;I know more about this than [her:t.Personal,s3f,f.Colloquial].; Я знаю об этом больше, чем она.;0;
000;He is as fast as [she:t.Personal,s3f,f.Formal].; Он так же быстр, как она.;0;
000;He is as fast as [her:t.Personal,s3f,f.Colloquial].; Он так же быстр, как она.;0;
000;We are as experienced as [they:t.Personal,p3,f.Formal].; У нас столько же опыта, сколько у них.;0;
000;We are as experienced as [them:t.Personal,p3,f.Colloquial].; У нас столько же опыта, сколько у них.;0;
000;You know as well as [I:t.Personal,s1,f.Formal] do that it's true.; Ты знаешь так же хорошо, как и я, что это правда.;0;
000;You know as well as [me:t.Personal,s1,f.Colloquial] do that it's true.; Ты знаешь так же хорошо, как и я, что это правда.;0;
000;Who is responsible for this mistake? – Not [I:t.Personal,s1,f.Formal]!; Кто несёт ответственность за эту ошибку? – Не я!;0;
000;Who is responsible for this mistake? – Not [Me:t.Personal,s1,f.Colloquial]!; Кто несёт ответственность за эту ошибку? – Не я!;0;
000;Who wants coffee? – [I:t.Personal,s1,f.Formal] do!; Кто хочет кофе? – Я хочу!;0;
000;Who wants coffee? – [Me:t.Personal,s1,f.Colloquial]!; Кто хочет кофе? – Я!;0;
000;Who told you that? – [He:t.Personal,s3,f.Formal] did.; Кто тебе это сказал? – Он сказал.;0;
000;Who told you that? – [Him:t.Personal,s3,f.Colloquial].; Кто тебе это сказал? – Он.;0;
000;Who took my pen? – Not [I:t.Personal,s1,f.Formal]!; Кто взял мою ручку? – Не я!;0;
000;Who took my pen? – Not [Me:t.Personal,s1,f.Colloquial]!; Кто взял мою ручку? – Не я!;0;
000;Who’s going first? – [I:t.Personal,s1,f.Formal] am.; Кто идёт первым? – Я иду.;0;
000;Who’s going first? – [Me:t.Personal,s1,f.Colloquial].; Кто идёт первым? – Я.;0;
000;Who helped you? – [She:t.Personal,s3,f.Formal] did.; Кто тебе помог? – Она помогла.;0;
000;Who helped you? – [Her:t.Personal,s3,f.Colloquial].; Кто тебе помог? – Она.;0;
000;Who’s in charge here? – [I:t.Personal,s1,f.Formal] am.; Кто здесь главный? – Я.;0;
000;Who’s in charge here? – [Me:t.Personal,s1,f.Colloquial].; Кто здесь главный? – Я.;0;
000;Who ate the last slice? – Not [I:t.Personal,s1,f.Formal]!; Кто съел последний кусок? – Не я!;0;
000;Who ate the last slice? – Not [Me:t.Personal,s1,f.Colloquial]!; Кто съел последний кусок? – Не я!;0;
000;Who called earlier? – [They:t.Personal,s3,f.Formal] did.; Кто звонил раньше? – Они звонили.;0;
000;Who called earlier? – [Them:t.Personal,s3,f.Colloquial].; Кто звонил раньше? – Они.;0;
000;Who’s ready to leave? – [We:t.Personal,p1,f.Formal] are.; Кто готов уходить? – Мы готовы.;0;
000;Who’s ready to leave? – [Us:t.Personal,p1,f.Colloquial].; Кто готов уходить? – Мы.;0;
000;Who has been using my laptop? – Not [I:t.Personal,s1,f.Formal]!; Кто пользовался моим ноутбуком? – Не я!;0;
000;Who has been using my laptop? – Not [Me:t.Personal,s1,f.Colloquial]!; Кто пользовался моим ноутбуком? – Не я!;0;
000;Who will have finished the project by tomorrow? – [I:t.Personal,s1,f.Formal] will have.; Кто закончит проект к завтрашнему дню? – Я закончу.;0;
000;Who will have finished the project by tomorrow? – [Me:t.Personal,s1,f.Colloquial].; Кто закончит проект к завтрашнему дню? – Я.;0;
000;Who had already left when you arrived? – [She:t.Personal,s3,f.Formal] had.; Кто уже ушёл, когда ты приехал? – Она ушла.;0;
000;Who had already left when you arrived? – [Her:t.Personal,s3,f.Colloquial].; Кто уже ушёл, когда ты приехал? – Она.;0;
000;Who would have helped if they had known? – [We:t.Personal,p1,f.Formal] would have.; Кто бы помог, если бы знал? – Мы бы помогли.;0;
000;Who would have helped if they had known? – [Us:t.Personal,p1,f.Colloquial].; Кто бы помог, если бы знал? – Мы.;0;
000;Who is supposed to be leading this meeting? – [He:t.Personal,s3,f.Formal] is.; Кто должен вести эту встречу? – Он.;0;
000;Who is supposed to be leading this meeting? – [Him:t.Personal,s3,f.Colloquial].; Кто должен вести эту встречу? – Он.;0;
000;Who has been waiting the longest? – [They:t.Personal,p3,f.Formal] have.; Кто ждал дольше всех? – Они ждали.;0;
000;Who has been waiting the longest? – [Them:t.Personal,p3,f.Colloquial].; Кто ждал дольше всех? – Они.;0;
000;Who will be speaking at the event? – [I:t.Personal,s1,f.Formal] will be.; Кто будет выступать на мероприятии? – Я буду.;0;
000;Who will be speaking at the event? – [Me:t.Personal,s1,f.Colloquial].; Кто будет выступать на мероприятии? – Я.;0;
000;Who should have called earlier? – [He:t.Personal,s3,f.Formal] should have.; Кто должен был позвонить раньше? – Он должен был.;0;
000;Who should have called earlier? – [Him:t.Personal,s3,f.Colloquial].; Кто должен был позвонить раньше? – Он.;0;
000;Who might have left the door open? – [She:t.Personal,s3,f.Formal] might have.; Кто мог оставить дверь открытой? – Она могла.;0;
000;Who might have left the door open? – [Her:t.Personal,s3,f.Colloquial].; Кто мог оставить дверь открытой? – Она.;0;
000;Who had been working on this before the change? – [We:t.Personal,p1,f.Formal] had been.; Кто работал над этим до изменений? – Мы работали.;0;
000;Who had been working on this before the change? – [Us:t.Personal,p1,f.Colloquial].; Кто работал над этим до изменений? – Мы.;0;
000;No one but [I:t.Personal,s1,f.Formal] understood the instructions.;Никто, кроме меня, не понял инструкций.;0;
000;No one but [me:t.Personal,s1,f.Colloquial] understood the instructions.;Никто, кроме меня, не понял инструкций.;0;
000;All but [I:t.Personal,s1,f.Formal] arrived late to the meeting.;Все, кроме меня, опоздали на встречу.;0;
000;All but [me:t.Personal,s1,f.Colloquial] arrived late to the meeting.;Все, кроме меня, опоздали на встречу.;0;
000;Nothing but [I:t.Personal,s1,f.Formal] could change the outcome.;Ничто, кроме меня, не могло изменить исход.;0;
000;Nothing but [me:t.Personal,s1,f.Colloquial] could change the outcome.;Ничто, кроме меня, не могло изменить исход.;0;
000;No one except [I:t.Personal,s1,f.Formal] was willing to take the risk.;Никто, кроме меня, не был готов пойти на риск.;0;
000;No one except [me:t.Personal,s1,f.Colloquial] was willing to take the risk.;Никто, кроме меня, не был готов пойти на риск.;0;
000;He is taller than [I:t.Personal,s1,f.Formal].;Он выше, чем я.;0;
000;He is taller than [me:t.Personal,s1,f.Colloquial].;Он выше, чем я.;0;
000;She is as dedicated as [I:t.Personal,s1,f.Formal] am.;Она так же предана, как и я.;0;
000;She is as dedicated as [me:t.Personal,s1,f.Colloquial] am.;Она так же предана, как и я.;0;
000;No one but [you:t.Personal,s2,f.Formal] should take responsibility.;Никто, кроме тебя, не должен брать на себя ответственность.;0;
000;No one but [you:t.Personal,s2,f.Colloquial] should take responsibility.;Никто, кроме тебя, не должен брать на себя ответственность.;0;
000;Everyone but [you:t.Personal,s2,f.Formal] received an invitation.;Все, кроме тебя, получили приглашение.;0;
000;Everyone but [you:t.Personal,s2,f.Colloquial] received an invitation.;Все, кроме тебя, получили приглашение.;0;
000;Nothing but [you:t.Personal,s2,f.Formal] matters to me.;Ничто, кроме тебя, для меня не важно.;0;
000;Nothing but [you:t.Personal,s2,f.Colloquial] matters to me.;Ничто, кроме тебя, для меня не важно.;0;
000;She trusts no one except [you:t.Personal,s2,f.Formal].;Она никому не доверяет, кроме тебя.;0;
000;She trusts no one except [you:t.Personal,s2,f.Colloquial].;Она никому не доверяет, кроме тебя.;0;
000;No one is more qualified than [you:t.Personal,s2,f.Formal].;Никто не более квалифицирован, чем ты.;0;
000;No one is more qualified than [you:t.Personal,s2,f.Colloquial].;Никто не более квалифицирован, чем ты.;0;
000;You are as capable as [you:t.Personal,s2,f.Formal] believe yourself to be.;Ты так же способен, как сам в это веришь.;0;
000;You are as capable as [you:t.Personal,s2,f.Colloquial] believe yourself to be.;Ты так же способен, как сам в это веришь.;0;
000;No one but [he:t.Personal,s3m,f.Formal] knows the truth.;Никто, кроме него, не знает правды.;0;
000;No one but [him:t.Personal,s3m,f.Colloquial] knows the truth.;Никто, кроме него, не знает правды.;0;
000;Everyone but [he:t.Personal,s3m,f.Formal] was chosen for the project.;Все, кроме него, были выбраны для проекта.;0;
000;Everyone but [him:t.Personal,s3m,f.Colloquial] was chosen for the project.;Все, кроме него, были выбраны для проекта.;0;
000;Nothing but [he:t.Personal,s3m,f.Formal] could explain the situation.;Ничто, кроме него, не могло объяснить ситуацию.;0;
